Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.0692746639251709
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06863236427307129
1, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06973910331726074
-,-,-,-,-
5, 1, 0, empty string, Invalid0.28438377380371094
5, 1, 0, {1: '(~i_0)\n'}, Valid0.5858902931213379
5, 1, 0, empty string, Invalid0.28603339195251465
5, 1, 3, {1: '(~i_0)\n'}, Valid0.060945749282836914
5, 1, 0, empty string, Invalid0.2845630645751953
5, 1, 0, empty string, Invalid0.2890493869781494
5, 1, 2, {1: '(~i_0)\n'}, Valid0.06034588813781738
5, 1, 8, {1: '(~i_0)\n'}, Valid0.11122989654541016
5, 1, 0, {1: '(~i_0)\n'}, Valid0.5025331974029541
5, 1, 0, empty string, Invalid0.27993106842041016
-,-,-,-,-
5, 2, 0, empty string, Invalid0.29472827911376953
5, 2, 0, empty string, Invalid0.2924830913543701
5, 2, 3, {1: '(~i_0)\n'}, Valid0.06158018112182617
5, 2, 0, empty string, Invalid0.28926634788513184
5, 2, 0, empty string, Invalid0.2903134822845459
5, 2, 0, empty string, Invalid0.28949880599975586
5, 2, 3, {1: '(~i_0)\n'}, Valid0.06682181358337402
5, 2, 0, empty string, Invalid0.28232765197753906
5, 2, 0, empty string, Invalid0.2885291576385498
5, 2, 0, {1: '(~i_0)\n'}, Valid0.5922152996063232
-,-,-,-,-
5, 3, 0, {1: '(~i_0)\n'}, Valid0.5637531280517578
5, 3, 0, empty string, Invalid0.2511904239654541
5, 3, 0, {1: '(~i_0)\n'}, Valid0.5797669887542725
5, 3, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.11951255798339844
5, 3, 0, {1: '(~i_0)\n'}, Valid0.5694334506988525
5, 3, 2, {1: '(~i_0)\n'}, Valid0.0543828010559082
5, 3, 3, {1: '(~i_0)\n'}, Valid0.10723233222961426
5, 3, 0, empty string, Invalid0.23552680015563965
5, 3, 0, empty string, Invalid0.2944815158843994
5, 3, 0, empty string, Invalid0.2885892391204834
-,-,-,-,-
5, 4, 9, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.0717477798461914
5, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.5474143028259277
5, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.10571885108947754
5, 4, 0, {1: '(~i_0)\n'}, Valid0.5003020763397217
5, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.5443503856658936
5, 4, 10, {1: '(~i_0)\n'}, Valid0.061820268630981445
5, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.08013749122619629
5, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.5372159481048584
5, 4, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.10542869567871094
5, 4, 0, {1: '(~i_0)\n'}, Valid0.5031313896179199
-,-,-,-,-
5, 5, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.10801577568054199
5, 5, 0, {1: '(~i_0)\n'}, Valid0.5698873996734619
5, 5, 0, {1: '(~i_0)\n'}, Valid0.5027828216552734
5, 5, 0, empty string, Invalid0.23817157745361328
5, 5, 1, {1: '(~i_0)\n'}, Valid0.06063532829284668
5, 5, 0, {1: '(~i_0)\n'}, Valid0.5750076770782471
5, 5, 0, {1: '(~i_0)\n'}, Valid0.5684325695037842
5, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.07521915435791016
5, 5, 0, {1: '(~i_0)\n'}, Valid0.5443482398986816
5, 5, 2, {1: '(~i_0)\n'}, Valid0.053710222244262695
-,-,-,-,-
5, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.0558621883392334
5, 10, 2, {1: '(~i_0)\n'}, Valid0.05333709716796875
5, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.08087158203125
5, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.5218749046325684
5, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.07935047149658203
5, 10, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.05675458908081055
5, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.11089873313903809
5, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06524538993835449
5, 10, 8, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.057578086853027344
5, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.09913754463195801
-,-,-,-,-
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06928277015686035
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.07134270668029785
5, 50, 68, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06600475311279297
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06848597526550293
5, 50, 35, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.05716514587402344
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06089949607849121
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.060732364654541016
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06866312026977539
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06870341300964355
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.07022500038146973
-,-,-,-,-
10, 1, 0, empty string, Invalid0.2898263931274414
10, 1, 1, {1: '(~i_0)\n'}, Valid0.06356382369995117
10, 1, 6, {1: '(~i_0)\n'}, Valid0.06072735786437988
10, 1, 0, {1: '(~i_0)\n'}, Valid0.5676887035369873
10, 1, 0, empty string, Invalid0.2880845069885254
10, 1, 4, {1: '(~i_0)\n'}, Valid0.060344696044921875
10, 1, 7, {1: '(~i_0)\n'}, Valid0.061064720153808594
10, 1, 4, {1: '(~i_0)\n'}, Valid0.060608625411987305
10, 1, 0, {1: '(~i_0)\n'}, Valid0.565086841583252
10, 1, 0, {1: '(~i_0)\n'}, Valid0.5648670196533203
-,-,-,-,-
10, 2, 1, {1: '(~i_0)\n'}, Valid0.06063365936279297
10, 2, 0, {1: '(~i_0)\n'}, Valid0.500291109085083
10, 2, 4, {1: '(~i_0)\n'}, Valid0.06038165092468262
10, 2, 0, empty string, Invalid0.2889416217803955
10, 2, 3, {1: '(~i_0)\n'}, Valid0.061144351959228516
10, 2, 0, empty string, Invalid0.2959892749786377
10, 2, 0, empty string, Invalid0.2930793762207031
10, 2, 0, {1: '(~i_0)\n'}, Valid0.5505886077880859
10, 2, 0, {1: '(~i_0)\n'}, Valid0.5573556423187256
10, 2, 2, {1: '(~i_0)\n'}, Valid0.06407642364501953
-,-,-,-,-
10, 3, 0, {1: '(~i_0)\n'}, Valid0.5579848289489746
10, 3, 2, {1: '(~i_0)\n'}, Valid0.06024622917175293
10, 3, 0, empty string, Invalid0.29033756256103516
10, 3, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.09296727180480957
10, 3, 0, {1: '(~i_0)\n'}, Valid0.567725658416748
10, 3, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.05689430236816406
10, 3, 7, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.0646512508392334
10, 3, 1, {1: '(~i_0)\n'}, Valid0.06049776077270508
10, 3, 12, {1: '(~i_0)\n'}, Valid0.06035208702087402
10, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.6297779083251953
-,-,-,-,-
10, 4, 0, empty string, Invalid0.2881479263305664
10, 4, 3, {1: '(~i_0)\n'}, Valid0.06096315383911133
10, 4, 1, {1: '(~i_0)\n'}, Valid0.061775922775268555
10, 4, 10, {1: '(~i_0)\n'}, Valid0.0559237003326416
10, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.09197592735290527
10, 4, 1, {1: '(~i_0)\n'}, Valid0.060320377349853516
10, 4, 2, {1: '(~i_0)\n'}, Valid0.06160426139831543
10, 4, 0, empty string, Invalid0.2884690761566162
10, 4, 1, {1: '(~i_0)\n'}, Valid0.06018662452697754
10, 4, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.0638129711151123
-,-,-,-,-
10, 5, 10, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06413936614990234
10, 5, 1, {1: '(~i_0)\n'}, Valid0.05328083038330078
10, 5, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06421470642089844
10, 5, 0, empty string, Invalid0.28845715522766113
10, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.5474348068237305
10, 5, 3, {1: '(~i_0)\n'}, Valid0.06106090545654297
10, 5, 0, empty string, Invalid0.28740382194519043
10, 5, 0, {1: '(~i_0)\n'}, Valid0.5701696872711182
10, 5, 3, {1: '(~i_0)\n'}, Valid0.11343169212341309
10, 5, 5, {1: '(~i_0)\n'}, Valid0.06186342239379883
-,-,-,-,-
10, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.09067392349243164
10, 10, 3, {1: '(~i_0)\n'}, Valid0.09748554229736328
10, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.09609484672546387
10, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06417536735534668
10, 10, 8, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.0679929256439209
10, 10, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06005048751831055
10, 10, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.07009720802307129
10, 10, 1, {1: '(~i_0)\n'}, Valid0.06215620040893555
10, 10, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.17229390144348145
10, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06432056427001953
-,-,-,-,-
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.0696561336517334
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.07009291648864746
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.07079648971557617
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.0704507827758789
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.07211041450500488
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.0703887939453125
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06997537612915039
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06997990608215332
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.07035112380981445
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.08993721008300781
-,-,-,-,-
50, 1, 0, empty string, Invalid0.3691716194152832
50, 1, 0, empty string, Invalid0.35913920402526855
50, 1, 2, {1: '(~i_0)\n'}, Valid0.06076836585998535
50, 1, 0, empty string, Invalid0.35489869117736816
50, 1, 0, {1: '(~i_0)\n'}, Valid0.7033226490020752
50, 1, 0, empty string, Invalid0.40035057067871094
50, 1, 0, {1: '(~i_0)\n'}, Valid0.7247598171234131
50, 1, 0, empty string, Invalid0.4570000171661377
50, 1, 0, empty string, Invalid0.4478480815887451
50, 1, 2, {1: '(~i_0)\n'}, Valid0.06641554832458496
-,-,-,-,-
50, 2, 0, empty string, Invalid0.5113112926483154
50, 2, 0, {1: '(~i_0)\n'}, Valid0.733597993850708
50, 2, 0, {1: '(~i_0)\n'}, Valid0.6649658679962158
50, 2, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.0924530029296875
50, 2, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.19992709159851074
50, 2, 0, empty string, Invalid0.46265673637390137
50, 2, 0, empty string, Invalid0.36243391036987305
50, 2, 0, empty string, Invalid0.35296201705932617
50, 2, 0, empty string, Invalid0.35349464416503906
50, 2, 1, {1: '(~i_0)\n'}, Valid0.06042599678039551
-,-,-,-,-
50, 3, 3, {1: '(~i_0)\n'}, Valid0.06102275848388672
50, 3, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.10515213012695312
50, 3, 0, empty string, Invalid0.3898122310638428
50, 3, 0, empty string, Invalid0.36974310874938965
50, 3, 3, {1: '(~i_0)\n'}, Valid0.06195878982543945
50, 3, 2, {1: '(~i_0)\n'}, Valid0.06075787544250488
50, 3, 0, {1: '(~i_0)\n'}, Valid0.6430613994598389
50, 3, 0, empty string, Invalid0.375962495803833
50, 3, 2, {1: '(~i_0)\n'}, Valid0.06122279167175293
50, 3, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.10159087181091309
-,-,-,-,-
50, 4, 0, {1: '(~i_0)\n'}, Valid0.8123269081115723
50, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.6869716644287109
50, 4, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06457328796386719
50, 4, 5, {1: '(~i_0)\n'}, Valid0.060838937759399414
50, 4, 0, empty string, Invalid0.36087822914123535
50, 4, 11, {1: '(~i_0)\n'}, Valid0.09115266799926758
50, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.6883399486541748
50, 4, 0, empty string, Invalid0.35376882553100586
50, 4, 10, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.17119598388671875
50, 4, 0, {1: '(~i_0)\n'}, Valid0.7744143009185791
-,-,-,-,-
50, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.8195464611053467
50, 5, 0, empty string, Invalid0.6538622379302979
50, 5, 5, {1: '(~i_0)\n'}, Valid0.06105637550354004
50, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.6991734504699707
50, 5, 0, empty string, Invalid0.3624706268310547
50, 5, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.09174633026123047
50, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.6813230514526367
50, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06683850288391113
50, 5, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06396889686584473
50, 5, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.0910496711730957
-,-,-,-,-
50, 10, 10, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.0563204288482666
50, 10, 0, {1: '(~i_0)\n'}, Valid0.6710243225097656
50, 10, 8, {1: '(~i_0)\n'}, Valid0.061553001403808594
50, 10, 1, {1: '(~i_0)\n'}, Valid0.061097145080566406
50, 10, 24, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06570005416870117
50, 10, 0, {1: '(~i_0)\n'}, Valid0.66225266456604
50, 10, 1, {1: '(~i_0)\n'}, Valid0.06046414375305176
50, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06551647186279297
50, 10, 11, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.056860923767089844
50, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid0.06447410583496094
-,-,-,-,-
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06958675384521484
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.06976175308227539
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded0.07614922523498535
1, 1, 0, {1: '(~i_0)\n'}, Valid, 3.666677236557007
1, 1, 0, {1: '(~i_0)\n'}, Valid, 3.120900869369507
