Benchmark, #Vars, #Output Vars, #Eqns, Epochs, Samples Enumerated, Preprocess Time
sample1_preprocessed.v,3,2,2,5,10000,0.30889344215393066
sample1_preprocessed.v,3,2,2,5,10000,0.19843482971191406
sample1_preprocessed.v,3,2,2,5,10000,0.19861745834350586
sample2_preprocessed.v,3,1,3,5,10000,0.23272323608398438
sample2_preprocessed.v,3,1,3,50,10000,0.2067556381225586
sample7_preprocessed.v,13,9,16,5,10000,0.5169832706451416
sample7_preprocessed.v,13,9,16,5,10000,0.4598262310028076
sample7_preprocessed.v,13,9,16,5,100000,0.4468209743499756
sample7_preprocessed.v,13,9,16,5,100000,0.4589262008666992
sample7_preprocessed.v,13,9,16,5,100000,0.43777036666870117
sample7_preprocessed.v,13,9,16,5,100000,0.431790828704834
sample7_preprocessed.v,13,9,16,5,1000000,0.44059062004089355
sample7_preprocessed.v,13,9,16,5,1000000,0.4386610984802246
sample7_preprocessed.v,13,9,16,5,1000000,0.43164658546447754
sample7_preprocessed.v,13,9,16,5,10000,0.43137121200561523
sample7_preprocessed.v,13,9,16,5,10000,0.4618041515350342
sample2_preprocessed.v,3,1,3,5,10000,0.20951414108276367
sample7_preprocessed.v,13,9,16,5,10000,0.40828847885131836
sample7_preprocessed.v,13,9,16,5,10000,0.42570996284484863
sample7_preprocessed.v,13,9,16,5,10000,0.4550602436065674
sample7_preprocessed.v,13,9,16,5,10000,0.44456982612609863
sample1_preprocessed.v,3,2,2,5,10000,0.2294011116027832
sample1_preprocessed.v,3,2,2,200,10000,0.21441388130187988
sample1_preprocessed.v,3,2,2,200,10000,0.2360548973083496
sample1_preprocessed.v,3,2,2,200,10000,0.21886062622070312
sample1_preprocessed.v,3,2,2,200,10000,0.2278900146484375
sample1_preprocessed.v,3,2,2,200,10000,0.20274901390075684
sample1_preprocessed.v,3,2,2,200,10000,0.18663763999938965
sample1_preprocessed.v,3,2,2,200,10000,0.21625232696533203
sample1_preprocessed.v,3,2,2,200,10000,0.20078516006469727
sample1_preprocessed.v,3,2,2,200,10000,0.22738409042358398
sample1_preprocessed.v,3,2,2,200,10000,0.18487882614135742
sample1_preprocessed.v,3,2,2,200,10000,0.2039041519165039
sample1_preprocessed.v,3,2,2,200,10000,0.196516752243042
sample1_preprocessed.v,3,2,2,200,10000,0.22630572319030762
sample1_preprocessed.v,3,2,2,200,10000,0.19770050048828125
sample1_preprocessed.v,3,2,2,20,100000,0.1914224624633789
sample1_preprocessed.v,3,2,2,5,100000,0.21587371826171875
sample1_preprocessed.v,3,2,2,5,10000,0.1857142448425293
sample1_preprocessed.v,3,2,2,5,10000,0.21249842643737793
sample1_preprocessed.v,3,2,2,5,10000,0.20349836349487305
sample1_preprocessed.v,3,2,2,5,10000,0.21639800071716309
sample1_preprocessed.v,3,2,2,50,10000,0.1912403106689453
sample1_preprocessed.v,3,2,2,50,10000,0.3486459255218506
sample1_preprocessed.v,3,2,2,5,10000,0.1972954273223877
sample1_preprocessed.v,3,2,2,5,10000,0.8094744682312012
sample1_preprocessed.v,3,2,2,5,10000,0.3886232376098633
sample1_preprocessed.v,3,2,2,5,10000,0.3061847686767578
sample1_preprocessed.v,3,2,2,5,10000,0.24964332580566406
sample1_preprocessed.v,3,2,2,5,10000,0.18549823760986328
sample1_preprocessed.v,3,2,2,5,10000,0.19773101806640625
sample1_preprocessed.v,3,2,2,5,10000,0.17787718772888184
sample1_preprocessed.v,3,2,2,5,10000,0.19030499458312988
sample1_preprocessed.v,3,2,2,5,10000,0.1864328384399414
sample1_preprocessed.v,3,2,2,5,10000,0.18982839584350586
sample1_preprocessed.v,3,2,2,50,10000,0.19985222816467285
sample1_preprocessed.v,3,2,2,50,100000,0.1797335147857666
sample1_preprocessed.v,3,2,2,5,10000,0.1865861415863037
sample1_preprocessed.v,3,2,2,5,10000,0.18106889724731445
sample1_preprocessed.v,3,2,2,5,10000,0.1971592903137207
sample6_preprocessed.v,5,1,4,5,10000,0.22480130195617676
sample6_preprocessed.v,5,2,4,5,10000,0.219191312789917
sample6_preprocessed.v,5,2,4,5,10000,0.2129054069519043
sample1_preprocessed.v,3,2,2,5,10000,0.17774748802185059
sample6_preprocessed.v,5,2,4,5,10000,0.24029755592346191
sample6_preprocessed.v,5,2,4,5,10000,0.2107224464416504
sample6_preprocessed.v,5,2,4,5,10000,0.22132420539855957
sample6_preprocessed.v,5,3,4,5,10000,0.2494211196899414
sample7_preprocessed.v,13,9,16,5,10000,0.4310421943664551
sample7_preprocessed.v,13,9,16,5,10000,0.4111964702606201
sample6_preprocessed.v,5,2,4,5,10000,0.21138381958007812
sample8_preprocessed.v,66,23,554,5,10000,9.992596626281738
sample6.v,5,2,4,5,10000,0.26322221755981445
sample8.v,66,23,554,5,10000,10.098400115966797
sample6.v,5,2,4,5,10000,0.311326265335083
sample6_preprocessed.v,5,2,4,5,10000,0.2995915412902832
sample6_preprocessed.v,5,2,4,5,10000,0.2716374397277832
sample6_preprocessed.v,2,5,4,5,10000,0.21869301795959473
sample6_preprocessed.v,2,5,4,5,10000,0.2102200984954834
sample6.v,2,5,4,5,10000,0.2149808406829834
sample6.v,5,2,4,5,10000,0.21586155891418457
sample6.v,5,2,4,5,10000,0.20028138160705566
sample6.v,5,2,4,5,10000,0.21819067001342773
sample6.v,5,2,4,5,10000,0.20953941345214844
sample6.v,5,2,4,5,10000,0.22069525718688965
sample6.v,5,2,4,5,10000,0.21928071975708008
sample6.v,5,2,4,50,10000,0.22552871704101562
sample6.v,5,2,4,50,100000,0.2302534580230713
sample6.v,5,1,4,50,100000,0.206099271774292
Q_2-3_v-80-100_r-11.0.v,180,100,2200,50,100000,86.31998181343079
Q_2-3_v-80-100_r-11.1.v,180,100,2200,50,100000,85.63992476463318
Q_2-3_v-80-100_r-11.2.v,180,100,2200,50,100000,87.25327324867249
Q_2-3_v-80-100_r-11.3.v,180,100,2200,50,100000,83.40387058258057
Q_2-3_v-80-100_r-11.4.v,180,100,2200,50,100000,83.77362585067749
Q_2-3_v-80-100_r-11.5.v,180,100,2200,50,100000,82.15796256065369
Q_2-3_v-80-100_r-11.6.v,180,100,2200,50,100000,87.34752655029297
Q_2-3_v-80-100_r-11.7.v,180,100,2200,50,100000,86.42533540725708
Q_2-3_v-80-100_r-11.8.v,180,100,2200,50,100000,84.61593890190125
Q_2-3_v-80-100_r-11.9.v,180,100,2200,50,100000,87.36874794960022
Q_2-3_v-80-100_r-13.0.v,180,100,2600,50,100000,107.64821767807007
Q_2-3_v-80-100_r-13.1.v,180,100,2600,50,100000,109.71076679229736
Q_2-3_v-80-100_r-13.2.v,180,100,2600,50,100000,114.71861910820007
Q_2-3_v-80-100_r-13.3.v,180,100,2600,50,100000,109.71402597427368
Q_2-3_v-80-100_r-13.4.v,180,100,2600,50,100000,111.87582850456238
Q_2-3_v-80-100_r-13.5.v,180,100,2600,50,100000,111.6161482334137
Q_2-3_v-80-100_r-13.6.v,180,100,2600,50,100000,107.7655279636383
Q_2-3_v-80-100_r-13.7.v,180,100,2600,50,100000,108.47064399719238
Q_2-3_v-80-100_r-13.8.v,180,100,2600,50,100000,108.54610109329224
Q_2-3_v-80-100_r-13.9.v,180,100,2600,50,100000,107.02364921569824
add20y.sat.v,66,23,554,50,100000,9.768221139907837
amba2c7n.sat.v,73,37,1981,50,100000,64.55240297317505
amba2f9n.sat.v,79,40,2572,50,100000,98.80440354347229
amba3b5y.sat.v,93,47,3356,50,100000,153.9384572505951
amba4c7n.sat.v,100,50,6028,50,100000,418.7197046279907
amba5b5n.sat.v,122,61,6298,50,100000,448.83906149864197
axquery_query42_1344n.v,601,539,3277,50,100000,151.32478594779968
bobsm5378d2_all_bit_differing_from_cycle.v,547,33,1912,50,100000,66.25426745414734
bobsm9234_all_bit_differing_from_cycle.v,722,33,3353,50,100000,155.79644560813904
bobsmhdlc1_all_bit_differing_from_cycle.v,641,48,2758,50,100000,116.19722890853882
bobsmhdlc2_all_bit_differing_from_cycle.v,639,48,2743,50,100000,118.0391685962677
bobsmhdlc3_all_bit_differing_from_cycle.v,661,48,2765,50,100000,117.75085663795471
bobsmhdlc_all_bit_differing_from_cycle.v,643,48,2765,50,100000,116.43282341957092
bobsynthetic2_all_bit_differing_from_cycle.v,600,200,9429,50,100000,880.4434185028076
bobsynthetic_all_bit_differing_from_cycle.v,180,60,4849,50,100000,251.36577343940735
bobtuint04neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,116.59368133544922
bobtuint05neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,117.41976141929626
bobtuint06_all_bit_differing_from_cycle.v,637,205,2769,50,100000,113.81984901428223
bobtuint06neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,115.2724928855896
bobtuint07neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,115.01585841178894
bobtuint08neg_all_bit_differing_from_cycle.v,637,206,2769,50,100000,118.8964307308197
bobtuint09neg_all_bit_differing_from_cycle.v,637,203,2769,50,100000,114.15223670005798
bobtuint10neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,117.15083312988281
bobtuint11neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,115.14961886405945
bobtuint12neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,115.12313508987427
bobtuint13neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,116.34392046928406
bobtuint14neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,114.36024641990662
bobtuint15neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,117.03225827217102
bobtuint16neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,116.9285340309143
bobtuint17neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,116.71216750144958
bobtuint18neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,116.86370086669922
bobtuint19neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,116.46742177009583
bobtuint20neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,115.47937059402466
bobtuint21neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,115.62257194519043
bobtuint22neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,114.91117644309998
bobtuint23neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,118.19542527198792
bobtuint24neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,112.94246935844421
bobtuint25neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,119.66040992736816
bobtuint26neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,116.72024488449097
bobtuint27neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,115.12513566017151
bobtuint28neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,113.13835406303406
bobtuint29neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,118.64085555076599
bobtuint30neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,116.25887155532837
bobtuint31neg.v,922,710,5963,50,100000,431.76839208602905
bobtuint31neg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,116.0185751914978
bobtuintorneg_all_bit_differing_from_cycle.v,637,205,2769,50,100000,115.40908145904541
bs128n.sat.v,268,131,6738,50,100000,455.57828760147095
bs128y.sat.v,268,131,6734,50,100000,445.78994512557983
cache-coherence-2-fixpoint-2.v,690,276,3181,50,100000,145.61516690254211
cache-coherence-2-fixpoint-4.v,1242,552,6733,50,100000,543.1159269809723
cache-coherence-2-fixpoint-5.v,1518,690,8509,50,100000,815.5695617198944
cache-coherence-2-fixpoint-6.v,1794,828,10287,50,100000,1176.3265523910522
cache-coherence-3-fixpoint-1.v,600,200,2098,50,100000,78.74719166755676
cache-coherence-3-fixpoint-2.v,1000,400,4758,50,100000,290.35771203041077
cache-coherence-3-fixpoint-3.v,1400,600,7420,50,100000,644.7307734489441
ceiling128.v,792,536,4275,50,100000,243.22958159446716
ceiling256.v,1591,1079,8596,50,100000,878.986204624176
ceiling32.v,156,93,989,50,100000,24.051463842391968
ceiling64.v,391,263,2100,50,100000,75.23325109481812
ci.e#1.a#3.E#40.A#60.c#288.w#6.s#2.asp.v,100,0,6913,50,100000,475.8735399246216
ci.e#1.a#3.E#40.A#60.c#384.w#6.s#8.asp.v,100,0,9217,50,100000,789.949622631073
ci.e#1.a#3.E#40.A#60.c#400.w#2.s#1.asp.v,100,0,3201,50,100000,124.17173981666565
ci.e#1.a#3.E#40.A#60.c#408.w#2.s#1.asp.v,100,0,3265,50,100000,127.04504299163818
ci.e#1.a#3.E#40.A#60.c#408.w#2.s#2.asp.v,100,0,3265,50,100000,127.98087906837463
ci.e#1.a#3.E#40.A#60.c#416.w#2.s#3.asp.v,100,0,3329,50,100000,131.10529613494873
ctrl.e#1.a#3.E#110.A#48.c#.w#9.s#13.asp.v,158,0,7921,50,100000,607.683315038681
ctrl.e#1.a#3.E#112.A#48.c#.w#5.s#27.asp.v,160,0,4481,50,100000,224.48305130004883
ctrl.e#1.a#3.E#116.A#48.c#.w#7.s#56.asp.v,164,0,6497,50,100000,419.7021028995514
ctrl.e#1.a#3.E#118.A#48.c#.w#5.s#7.asp.v,166,0,4721,50,100000,247.1027112007141
ctrl.e#1.a#3.E#120.A#48.c#.w#3.s#3.asp.v,168,0,2881,50,100000,107.85239481925964
ctrl.e#1.a#3.E#124.A#48.c#.w#7.s#50.asp.v,172,0,6945,50,100000,475.1885652542114
ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#26.asp.v,176,0,3073,50,100000,115.25878405570984
ctrl.e#1.a#3.E#128.A#48.c#.w#5.s#60.asp.v,176,0,5121,50,100000,283.9269218444824
ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#1.asp.v,176,0,7169,50,100000,500.8290569782257
ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#60.asp.v,176,0,7169,50,100000,504.28076362609863
ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#7.asp.v,176,0,7169,50,100000,515.6707816123962
ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#1.asp.v,176,0,9217,50,100000,816.5558121204376
ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#60.asp.v,176,0,9217,50,100000,819.1637446880341
ctrl.e#1.a#3.E#134.A#48.c#.w#9.s#40.asp.v,182,0,9649,50,100000,896.9239003658295
ctrl.e_1.a_3.E_110.A_48.c_.w_9.s_13.asp.v,158,48,7921,50,100000,609.7554926872253
ctrl.e_1.a_3.E_112.A_48.c_.w_5.s_27.asp.v,160,48,4481,50,100000,220.09383940696716
ctrl.e_1.a_3.E_116.A_48.c_.w_7.s_56.asp.v,164,48,6497,50,100000,424.4814922809601
ctrl.e_1.a_3.E_118.A_48.c_.w_5.s_7.asp.v,166,48,4721,50,100000,236.53926038742065
ctrl.e_1.a_3.E_120.A_48.c_.w_3.s_3.asp.v,168,48,2881,50,100000,107.50969433784485
ctrl.e_1.a_3.E_122.A_48.c_.w_3.s_51.asp.v,170,48,2929,50,100000,110.11467909812927
ctrl.e_1.a_3.E_124.A_48.c_.w_7.s_50.asp.v,172,48,6945,50,100000,474.78470754623413
ctrl.e_1.a_3.E_128.A_48.c_.w_3.s_1.asp.v,176,48,3073,50,100000,119.94753766059875
ctrl.e_1.a_3.E_128.A_48.c_.w_3.s_17.asp.v,176,48,3073,50,100000,118.92499661445618
ctrl.e_1.a_3.E_128.A_48.c_.w_3.s_26.asp.v,176,48,3073,50,100000,115.44821834564209
ctrl.e_1.a_3.E_128.A_48.c_.w_3.s_60.asp.v,176,48,3073,50,100000,117.291512966156
ctrl.e_1.a_3.E_128.A_48.c_.w_5.s_1.asp.v,176,48,5121,50,100000,285.43883991241455
ctrl.e_1.a_3.E_128.A_48.c_.w_5.s_60.asp.v,176,48,5121,50,100000,280.23637413978577
ctrl.e_1.a_3.E_128.A_48.c_.w_7.s_1.asp.v,176,48,7169,50,100000,502.6598081588745
ctrl.e_1.a_3.E_128.A_48.c_.w_7.s_60.asp.v,176,48,7169,50,100000,498.2011766433716
ctrl.e_1.a_3.E_128.A_48.c_.w_7.s_7.asp.v,176,48,7169,50,100000,514.6492040157318
ctrl.e_1.a_3.E_128.A_48.c_.w_9.s_1.asp.v,176,48,9217,50,100000,805.0423903465271
ctrl.e_1.a_3.E_128.A_48.c_.w_9.s_60.asp.v,176,48,9217,50,100000,805.1400811672211
ctrl.e_1.a_3.E_130.A_48.c_.w_7.s_11.asp.v,178,48,7281,50,100000,511.31932258605957
ctrl.e_1.a_3.E_134.A_48.c_.w_9.s_40.asp.v,182,48,9649,50,100000,863.2624835968018
cycle_sched_12_2_1.sat.v,433,223,3612,50,100000,159.45776748657227
cycle_sched_2_10_1.sat.v,267,135,4142,50,100000,198.7288477420807
cycle_sched_4_4_2.sat.v,294,150,6389,50,100000,405.9529318809509
cycle_sched_6_6_2.sat.v,554,281,6388,50,100000,432.32066917419434
